"","Land","X2015","X2016","X2017","X2018"
"1","Belgium",61.796863119318,62.289344476851,63.135166108081,64.47678777129
"2","Denmark",73.505431177441,74.880262474013,74.206454916649,75.453415790295
"3","Germany",73.967363667693,74.653102785138,75.248297928075,75.921062685782
"4","Estonia",71.824724122241,71.99914798631,74.110123683117,74.736523426171
"5","Finland",68.728423475259,69.236168195643,70.111589359977,72.20810969635
"6","France",64.271373079502,64.641118484134,65.227264311263,65.879603858818
"7","Greece",50.778318864464,52.046388237629,53.483802887526,54.914075883395
"8","Ireland",64.557866927253,66.341321510619,67.443714955464,68.537591657687
"9","Iceland",84.228749954584,86.267266969147,85.757749520712,84.838062259039
"10","Italy",56.289840067858,57.217925112262,57.955358580504,58.530578640801
"11","Luxembourg",66.125193401904,65.553377964872,66.281503636141,67.091561947821
"12","Netherlands",74.11076662997,74.842982132033,75.848980274393,77.177989118789
"13","Norway",74.857863118699,74.358674674814,74.069033039127,74.876478051469
"14","Austria",71.105853471911,71.544944483385,72.164275674211,73.01084545551
"15","Poland",62.933392198359,64.512356318096,66.122398998806,67.388107322744
"16","Portugal",63.900340871006,65.245622445181,67.806943479472,69.683974734225
"17","Sweden",75.544130388725,76.21822580521,76.864092277361,77.546934432104
"18","Switzerland",79.190147504518,79.607113419794,79.783797842129,80.104270694694
"19","Slovakia",62.724901999118,64.869682216499,66.18489216679,67.580344049017
"20","Slovenia",65.21987552463,65.828313194136,69.267139719083,71.144370042221
"21","Spain",58.716836149451,60.479038410131,62.057614327783,63.406149857054
"22","Czech Republic",70.227021041825,71.980225015374,73.646103109952,74.819690942101
"23","Turkey",50.194839184971,50.645945376945,51.52780913675,51.980317969172
"24","Hungary",63.943562553007,66.524336066129,68.172646916823,69.246842571449
"25","United Kingdom",73.446697934611,73.837558547731,74.718122293218,74.989849147988
